"Entry Title","Entry ID","MMGBSA dG Bind"
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1981",388,-37.558544
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1982",389,-39.113421
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1983",390,-39.347274
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1984",391,-37.988862
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1985",392,-38.213809
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1986",393,-38.953872
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1987",394,-42.791072
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1988",395,-39.353334
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1989",396,-39.424216
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1990",397,-39.313205
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1991",398,-39.228123
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1992",399,-39.313451
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1993",400,-35.843639
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1994",401,-37.747625
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1995",402,-39.076728
