"Entry Title","Entry ID","MMGBSA dG Bind"
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1909",111,-80.273264
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1910",112,-80.157241
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1911",113,-78.523613
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1912",114,-79.570223
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1913",115,-78.488297
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1914",116,-79.665556
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1915",117,-81.292498
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1916",118,-81.367120
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1917",119,-79.706304
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1918",120,-80.119788
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1919",121,-79.801063
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1920",122,-78.518252
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1921",123,-79.716683
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1922",124,-80.278285
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1923",125,-78.397021
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1924",126,-80.057132
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1925",127,-81.174063
