"frame","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
3949,0.91,36.88,-1.02,-0.37,-0.07,-0.00,0.00,-35.16,0.65
3950,0.54,41.09,0.22,-0.02,0.02,-0.00,0.00,-40.86,0.09
3951,0.37,28.01,0.23,-0.00,0.00,-0.00,0.00,-27.57,-0.31
3952,1.70,53.10,1.69,0.18,-0.49,0.14,0.00,-51.40,-1.53
3953,-20.67,37.48,5.52,-3.82,-3.68,-2.39,0.00,-32.88,-20.91
3954,-0.05,30.89,0.07,-0.01,-0.03,-0.00,0.00,-30.85,-0.12
3955,0.20,47.11,-0.35,-0.02,-0.01,-0.05,0.00,-45.45,-1.05
3956,0.54,38.36,0.17,0.00,0.01,0.00,0.00,-37.65,-0.36
3957,1.28,43.79,0.27,0.00,-0.01,0.01,0.00,-42.27,-0.51
3958,0.77,33.28,0.31,-0.01,-0.01,-0.01,0.00,-32.64,-0.15
3959,-14.25,25.13,8.69,-3.36,-4.79,-1.94,0.00,-18.12,-19.86
3960,-5.67,68.62,2.06,-1.58,-1.28,-1.63,0.00,-63.43,-8.42
3961,-12.52,42.31,4.80,-1.89,-4.04,-2.24,0.00,-39.76,-11.70
3962,-28.63,-0.77,10.87,-3.04,-3.31,0.83,0.00,-13.47,-19.74
3963,1.46,61.00,0.01,0.14,-0.06,-0.31,0.00,-58.14,-1.18
3964,-22.91,10.80,8.79,-3.21,-5.68,-1.03,0.00,-5.89,-26.69
3965,-9.91,91.43,-3.99,1.00,-4.46,-0.00,0.00,-83.22,-10.67
3966,-34.19,-7.94,6.13,-4.34,-8.38,-2.96,0.00,8.77,-25.47
3967,-48.12,-23.38,8.57,-4.17,-14.62,-0.85,0.00,31.17,-44.84
3968,-58.02,-34.59,23.74,-4.46,-11.24,-4.99,0.00,27.33,-53.81
3969,-40.59,-11.67,7.28,-2.76,-7.71,-3.00,0.00,10.38,-33.12
3970,-51.53,3.28,7.27,-2.87,-12.61,-0.48,0.00,-4.89,-41.23
3971,-46.78,9.22,11.85,-5.42,-12.92,-2.22,0.00,-8.13,-39.18
3972,-36.34,-6.32,6.75,0.01,-8.98,-2.96,0.00,4.20,-29.04
3973,-33.06,-5.27,9.21,-1.29,-11.16,-2.23,0.00,9.79,-32.11
3974,-45.62,-9.84,6.19,-3.69,-10.26,-0.02,0.00,15.26,-43.26
3975,-48.78,-17.87,14.15,-4.94,-12.91,-3.70,0.00,14.28,-37.78
3976,-28.32,3.59,5.72,-3.01,-6.10,-0.98,0.00,3.43,-30.98
3977,-30.41,6.56,6.38,-2.58,-6.53,-3.10,0.00,-6.09,-25.04
3978,-48.40,-15.91,13.79,-4.46,-12.82,-1.55,0.00,12.76,-40.22
3979,-53.71,-7.74,12.80,-3.67,-12.91,-1.64,0.00,9.84,-50.39
3980,-29.20,4.31,5.93,-1.40,-6.03,0.70,0.00,-8.34,-24.38
3981,-40.95,27.15,17.13,-1.39,-14.13,-2.48,0.00,-23.22,-44.01
3982,-31.67,4.76,2.27,-3.87,-5.71,-1.44,0.00,4.67,-32.35
3983,3974.57,21.45,2919.58,-1.04,-6.12,-1.27,0.00,-7.91,1049.88
3984,-48.33,-25.37,8.82,-5.13,-9.18,-0.90,0.00,18.50,-35.07
3985,-27.33,20.02,17.47,-4.68,-6.45,-4.08,0.00,-16.76,-32.84
3986,-49.05,-33.29,8.51,-5.34,-7.22,-2.34,0.00,21.05,-30.42
