"frame","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
3986,-53.71,82.77,4.51,-2.75,-19.50,-2.03,0.00,-43.54,-73.16
3987,-53.18,41.73,0.16,-1.18,-16.97,1.82,0.00,-29.96,-48.79
3988,-48.96,73.32,-2.84,0.02,-17.64,-1.69,0.00,-44.38,-55.75
3989,-52.11,52.85,2.67,-0.66,-17.22,-1.71,0.00,-40.24,-47.79
3990,-54.92,39.11,-1.07,0.23,-17.70,0.87,0.00,-18.10,-58.26
3991,-49.69,53.66,9.02,-3.46,-15.64,-1.82,0.00,-33.73,-57.71
3992,-50.56,50.19,7.29,-2.08,-14.78,-1.95,0.00,-33.74,-55.49
3993,-49.35,45.88,5.37,-1.50,-16.97,-0.01,0.00,-32.00,-50.11
3994,-45.52,78.63,4.90,-1.30,-17.37,0.53,0.00,-38.14,-72.76
3995,-61.59,65.27,7.82,-1.42,-19.05,-0.04,0.00,-41.26,-72.91
3996,-54.29,50.93,-4.76,-0.70,-16.87,0.84,0.00,-27.39,-56.34
3997,-46.27,71.83,-6.03,-0.77,-16.02,0.73,0.00,-33.83,-62.19
3998,-35.24,60.96,1.05,-0.53,-16.80,-0.52,0.00,-30.13,-49.28
3999,-50.78,51.39,3.70,-0.42,-18.36,0.44,0.00,-32.72,-54.81
4000,-46.70,55.81,-2.30,-0.64,-17.10,-0.12,0.00,-27.24,-55.12
4001,-48.26,68.81,-4.27,-0.19,-17.89,0.18,0.00,-38.30,-56.60
