"MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW","frame"
-39.66,49.14,5.34,-1.65,-5.29,-2.95,-0.00,-46.80,-37.46,3955
-53.32,49.14,-3.07,-3.21,-11.55,-3.23,-0.00,-27.80,-53.60,3956
-28.86,63.93,6.23,-0.31,-9.24,-1.95,-0.00,-43.45,-44.06,3957
-56.07,48.73,-4.74,-4.11,-7.61,-2.38,-0.00,-39.39,-46.57,3958
-45.89,49.54,4.32,-1.93,-8.72,-2.61,-0.00,-40.08,-46.40,3959
-18.25,64.56,5.82,-0.82,-0.95,-1.57,-0.00,-55.53,-29.76,3960
-58.52,44.58,-1.94,-3.66,-10.65,-2.95,-0.00,-35.06,-48.84,3961
-50.38,37.09,1.44,-2.93,-6.88,-2.45,-0.00,-32.75,-43.90,3962
-34.46,72.32,3.12,-0.55,-14.60,-2.10,-0.00,-43.11,-49.55,3963
-49.31,49.13,-1.79,-2.72,-7.46,-3.11,-0.00,-34.80,-48.56,3964
-48.56,41.85,9.69,-3.10,-11.51,-3.00,-0.00,-39.61,-42.89,3965
-38.55,70.87,5.84,-0.60,-13.67,-0.84,-0.00,-51.29,-48.85,3966
-33.21,49.34,9.13,-0.15,-8.71,-2.35,-0.00,-40.05,-40.43,3967
-32.53,60.96,17.98,-0.98,-15.36,-1.54,-0.00,-51.54,-42.05,3968
-36.77,74.56,1.39,-0.66,-8.65,-1.91,-0.00,-59.84,-41.65,3969
-48.94,50.98,6.66,-2.52,-12.14,-0.20,-0.00,-46.20,-45.52,3970
-42.22,53.28,6.91,-1.16,-16.30,-2.94,-0.00,-36.03,-45.99,3971
-42.33,61.66,6.26,-0.38,-15.40,-2.55,-0.00,-47.58,-44.34,3972
-35.47,68.62,2.73,-1.32,-10.21,-0.03,-0.00,-46.97,-48.29,3973
-34.47,65.70,0.29,0.01,-9.50,-2.21,-0.00,-46.10,-42.66,3974
-38.35,77.91,-0.25,0.07,-11.68,-0.91,-0.00,-58.82,-44.69,3975
-41.58,76.62,8.01,0.17,-14.54,-1.57,-0.00,-64.03,-46.25,3976
-39.82,62.99,1.78,-0.20,-9.83,-2.44,-0.00,-39.51,-52.61,3977
-51.88,62.81,3.20,-2.28,-12.40,-3.70,-0.00,-37.62,-61.90,3978
-40.49,58.74,8.93,-0.92,-15.43,-1.15,-0.00,-48.18,-42.47,3979
-43.98,52.22,5.31,-1.26,-15.14,-1.07,-0.00,-41.67,-42.38,3980
-24.67,65.86,4.61,0.14,-8.52,-1.24,-0.00,-49.60,-35.92,3981
-34.23,68.20,3.53,-1.19,-11.30,-1.36,-0.00,-56.43,-35.68,3982
-35.22,42.49,7.17,-3.12,-9.19,-1.25,-0.00,-32.86,-38.47,3983
-37.67,56.59,7.50,-1.51,-14.91,-0.92,-0.00,-40.76,-43.67,3984
-39.28,37.35,4.52,-2.69,-11.24,-1.23,-0.00,-26.47,-39.53,3985
91.37,39.65,135.88,-2.13,-8.22,-0.85,-0.00,-40.91,-32.04,3986
-34.85,54.96,-0.36,-0.22,-6.93,0.66,-0.00,-59.18,-23.78,3987
-31.76,72.25,-1.09,0.35,-8.26,0.42,-0.00,-69.55,-25.89,3988
-40.65,43.91,9.67,-1.60,-16.35,-0.43,-0.00,-34.57,-41.28,3989
-21.30,77.14,-1.02,0.47,-10.02,-0.03,-0.00,-57.65,-30.19,3990
-25.31,53.44,-1.45,-2.37,-8.35,-0.74,-0.00,-41.21,-24.64,3991
-39.36,27.83,4.65,-2.90,-6.33,0.10,-0.00,-31.84,-30.86,3992
-28.15,53.81,1.29,0.46,-7.41,-0.69,-0.00,-48.87,-26.75,3993
-21.88,88.40,-0.41,0.23,-10.05,-0.03,-0.00,-69.75,-30.26,3994
-37.16,43.30,8.61,-2.88,-13.27,-0.83,-0.00,-33.77,-38.31,3995
-41.80,52.42,4.75,-1.30,-13.29,-0.03,-0.00,-49.36,-34.99,3996
-39.74,70.72,3.68,-2.23,-9.03,-0.65,-0.00,-51.14,-51.09,3997
-39.53,61.71,3.78,-1.95,-14.07,-0.88,-0.00,-50.36,-37.77,3998
-34.79,68.47,-2.75,-0.03,-10.15,-1.22,-0.00,-57.38,-31.73,3999
-37.38,60.57,9.61,-0.92,-12.21,-1.63,-0.00,-53.33,-39.48,4000
-13.71,76.20,4.83,-1.19,-7.12,-0.68,-0.00,-58.45,-27.30,4001
