"frame","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
3974,-112.15,-116.48,-0.69,-3.59,-19.35,-4.65,0.00,119.16,-86.54
3951,-112.07,-148.06,7.24,-4.76,-17.70,-4.73,0.00,124.90,-68.95
3881,-111.88,-133.29,2.62,-6.33,-18.27,-5.25,0.00,127.46,-78.81
3828,-111.85,-130.29,7.46,-5.62,-18.09,-4.85,0.00,119.98,-80.44
3877,-111.75,-130.56,0.38,-3.72,-18.02,-5.77,0.00,127.17,-81.22
3878,-111.70,-164.03,8.60,-7.93,-16.64,-5.08,0.00,140.84,-67.47
3981,-111.68,-111.33,-0.39,-3.60,-18.71,-7.21,0.00,114.65,-85.10
3917,-111.60,-108.03,-1.15,-2.89,-16.78,-5.28,0.00,95.66,-73.12
3975,-111.48,-100.12,1.22,-3.89,-20.85,-5.79,0.00,106.83,-88.88
3983,-111.38,-112.76,2.62,-5.01,-18.61,-5.94,0.00,112.56,-84.25
3819,-111.30,-141.90,6.64,-5.27,-18.79,-5.06,0.00,136.59,-83.51
3998,-111.30,-100.08,5.96,-3.02,-17.74,-4.27,0.00,91.26,-83.41
3807,-111.28,-130.95,5.68,-5.82,-18.67,-6.54,0.00,139.86,-94.84
3848,-111.25,-135.94,7.33,-6.05,-18.38,-5.04,0.00,123.39,-76.55
3916,-110.94,-128.88,6.06,-5.35,-18.25,-5.22,0.00,118.35,-77.63
3980,-110.77,-139.25,2.15,-5.03,-17.90,-6.46,0.00,137.99,-82.29
3913,-110.69,-120.47,-4.76,-3.45,-17.21,-4.28,0.00,108.22,-68.75
3939,-110.69,-107.31,7.65,-4.93,-18.81,-5.37,0.00,97.58,-79.51
3825,-110.47,-135.10,8.78,-6.00,-19.45,-6.64,0.00,131.99,-84.05
3875,-110.40,-118.77,10.70,-6.43,-16.75,-4.94,0.00,108.35,-82.55
3963,-110.18,-124.84,4.05,-5.16,-17.88,-6.98,0.00,125.96,-85.34
3960,-110.10,-128.64,9.98,-6.32,-17.26,-5.46,0.00,122.83,-85.23
3965,-110.02,-144.82,4.44,-5.56,-17.92,-7.02,0.00,149.23,-88.37
3808,-109.89,-145.10,9.13,-5.90,-18.58,-5.68,0.00,141.94,-85.70
3973,-109.79,-121.79,1.74,-4.11,-19.09,-6.79,0.00,126.63,-86.37
3854,-109.34,-96.53,3.31,-5.99,-18.13,-5.65,0.00,96.91,-83.25
3809,-108.99,-145.76,8.58,-5.29,-19.21,-5.91,0.00,143.17,-84.58
3803,-108.98,-141.11,2.70,-4.30,-17.91,-5.60,0.00,141.91,-84.67
3921,-108.94,-111.80,1.50,-4.00,-16.52,-4.09,0.00,103.82,-77.85
3853,-108.91,-128.95,-2.08,-5.91,-17.60,-6.10,0.00,124.46,-72.73
3882,-108.89,-143.26,7.28,-4.71,-17.81,-4.81,0.00,132.51,-78.09
3942,-108.79,-129.73,7.84,-4.86,-19.57,-4.61,0.00,121.90,-79.75
3956,-108.68,-158.40,9.84,-6.06,-17.02,-5.38,0.00,145.10,-76.76
3856,-108.64,-123.72,-0.31,-5.04,-17.75,-4.81,0.00,116.89,-73.90
3880,-108.61,-111.30,6.95,-5.09,-18.83,-4.23,0.00,99.74,-75.85
3904,-108.57,-139.12,8.05,-6.25,-17.90,-6.10,0.00,133.06,-80.32
3977,-108.52,-107.76,0.21,-3.72,-18.59,-6.01,0.00,114.55,-87.18
3849,-108.50,-135.05,14.05,-5.90,-17.37,-4.53,0.00,117.65,-77.36
3901,-108.37,-146.51,5.91,-5.75,-16.46,-5.38,0.00,135.76,-75.95
3930,-108.30,-106.19,-3.39,-4.60,-16.31,-4.87,0.00,107.10,-80.03
3903,-108.28,-119.19,0.55,-5.26,-16.03,-4.70,0.00,105.78,-69.43
3966,-108.27,-139.90,11.12,-6.37,-18.28,-4.49,0.00,136.52,-86.87
3804,-108.24,-124.26,6.04,-6.19,-20.45,-6.64,0.00,133.87,-90.60
3805,-108.18,-143.72,0.09,-5.22,-17.25,-6.92,0.00,139.27,-74.42
3829,-107.87,-123.47,8.03,-6.18,-18.18,-5.30,0.00,121.17,-83.93
3962,-107.87,-113.94,3.94,-4.51,-18.36,-6.91,0.00,118.21,-86.29
3844,-107.58,-109.00,6.32,-5.76,-16.97,-6.07,0.00,94.99,-71.09
3905,-107.56,-104.57,0.40,-4.30,-16.75,-6.07,0.00,100.45,-76.72
4000,-107.55,-116.54,2.21,-4.10,-16.86,-4.61,0.00,114.80,-82.44
3879,-107.49,-126.34,2.01,-4.48,-17.71,-6.29,0.00,123.52,-78.21
3811,-107.42,-128.64,4.87,-4.37,-19.30,-5.64,0.00,130.99,-85.33
3918,-107.28,-89.80,2.84,-3.95,-16.48,-4.46,0.00,87.20,-82.64
3919,-107.27,-102.61,-11.83,-3.48,-14.90,-2.92,0.00,98.45,-69.98
3857,-107.12,-117.86,6.83,-6.62,-18.55,-5.47,0.00,118.43,-83.88
3868,-107.07,-113.84,4.55,-2.92,-16.72,-6.00,0.00,110.42,-82.56
3995,-106.92,-81.63,5.51,-2.49,-17.24,-3.43,0.00,73.96,-81.60
3943,-106.89,-142.74,9.76,-5.26,-16.34,-4.66,0.00,124.03,-71.69
3906,-106.62,-116.94,1.46,-5.05,-15.16,-5.84,0.00,106.19,-71.28
3937,-106.53,-82.18,3.56,-3.99,-18.75,-7.33,0.00,82.30,-80.13
3948,-106.45,-135.01,4.13,-5.20,-17.54,-5.27,0.00,133.71,-81.27
3922,-106.41,-98.47,-0.82,-2.80,-15.65,-3.80,0.00,93.53,-78.40
