"MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW","frame"
-86.95,-8.48,9.79,-2.94,-31.51,-2.85,-0.01,17.22,-68.16,3991
-89.57,-25.99,11.43,-3.78,-33.09,-2.93,-0.00,30.61,-65.81,3992
-92.41,-33.56,8.32,-3.61,-32.15,-2.07,-0.00,36.28,-65.61,3993
-93.84,-25.38,14.84,-4.82,-31.28,-3.33,0.02,19.67,-63.57,3994
-87.66,-27.39,7.18,-3.47,-31.13,-2.16,0.00,35.84,-66.53,3995
-89.02,-26.57,4.94,-3.24,-30.22,-2.20,0.00,32.26,-63.99,3996
-82.73,-16.67,6.20,-3.62,-29.89,-2.07,-0.00,25.75,-62.43,3997
-33.45,-24.48,10.93,-3.55,-20.05,-2.21,0.05,44.12,-38.27,3998
-38.48,-37.87,19.00,-2.32,-20.30,-2.00,0.01,46.51,-41.51,3999
-40.18,-20.54,11.91,-3.77,-21.40,-2.52,-0.00,32.13,-35.98,4000
-80.65,-11.45,9.53,-3.87,-34.00,-4.59,-4.55,34.81,-66.52,4001
